"a11" "a12" "a21" "a22" "f1_1" "f1_2" "Q11" "Q12" "Q21" "Q22" "f_1" "f_2" "b_1" "b_2" "mu0" "theta"
-0.0997461261809969 0.00104840281296947 0.00106563296511317 -0.0984293617978268 102.829751081573 204.003692514356 1.11264267975484e-06 1.16221705629246e-07 1.02933236475544e-07 1.12965792331258e-06 100.305409125217 196.459076626191 1.10061028835325 1.97167619406776 0.000104331708160822 0.0816733456726962
-0.107257702006893 0.00118378704777156 0.00101543284039242 -0.105400499756112 103.832003396773 196.92693891443 1.01186124530212e-06 1.00871264408549e-07 1.04459078171638e-07 1.04933896941636e-06 106.283568187094 201.889523854376 1.00119732222348 2.00652907097795 9.24110151578054e-05 0.079932550659212
-0.0963236115457378 0.00098637396319776 0.00103330270609815 -0.0947462360780745 102.962789439903 200.053723167775 1.13313286443865e-06 9.83769389921066e-08 1.00607768249348e-07 1.11913580352939e-06 95.0966972473554 200.599461836 0.961113700603289 2.12433261215813 0.000111316317632162 0.081493024144327
-0.0916261002161727 0.000942390119670996 0.00100530694658808 -0.0906485836008054 107.550619923702 203.533972139868 1.07937645942304e-06 9.98252088286537e-08 9.62300342245755e-08 9.34660885743615e-07 102.910924296872 202.547421723066 0.971057915990531 1.91255663243008 0.000101188418467593 0.078529460996785
-0.0945767071281347 0.00102246781940355 0.00112801500399574 -0.0930827036004606 101.614357974347 202.480711142781 9.93064910742891e-07 1.06821298162341e-07 9.31458615811795e-08 1.02392135275104e-06 104.378565238177 197.598165624335 0.979271119021774 2.08687263929373 0.000106712864148948 0.0810651765753422
-0.095749052571702 0.00109544836345382 0.00100441702075377 -0.0934181055901823 99.8697325896087 204.083738369551 9.69653552615617e-07 9.90112151077455e-08 1.05808634496123e-07 9.93608462840189e-07 103.394338301937 196.987234860601 0.909656535671673 2.20573144522367 0.000104479590439762 0.0823010763990455
-0.0932420895676379 0.00114433421444361 0.000987104304470631 -0.0909827875722895 98.2301462156454 197.597190922193 1.08575749027584e-06 1.00247411754947e-07 9.82345917046864e-08 1.01709374630049e-06 99.4113661484481 206.084103768184 0.914267462633101 2.16964525761077 0.000106054860278686 0.0821509145453659
-0.102499866758805 0.00106347837437368 0.000931412893068336 -0.100680163734317 100.576486954972 199.329647074179 9.85746633535349e-07 1.16093073086552e-07 1.12738797435723e-07 1.10907506140665e-06 104.869938419636 199.844151416785 0.913282498742166 1.99703823021051 0.000102816709820988 0.0788583077779081
-0.10966241062393 0.00105831488292797 0.00114592251448123 -0.108453072551922 103.715157897468 198.518214204585 1.10980193192022e-06 1.10639145260303e-07 1.10565221143155e-07 1.00791949390923e-06 98.6719843926021 199.592055387331 1.12634921145568 1.9610095192056 9.32899608060578e-05 0.0819548612979825
-0.0982753341557958 0.0010924899840354 0.0010186303153948 -0.0966930346509285 100.507685276967 200.011214700904 9.57644507175404e-07 1.13304812520423e-07 9.96356273785384e-08 1.07853619848108e-06 99.0737680770096 205.219830121948 1.02530414711912 1.99327494211002 0.000103983305742315 0.0788784926863318
-0.0935869252728336 0.000975248016422467 0.00110137725915612 -0.0920029871426549 100.732211632699 201.142640901041 1.01920780033221e-06 1.04478066557808e-07 1.05499348748058e-07 1.04824758474646e-06 104.038150328348 203.62778424795 0.962029320022824 2.13288487024496 0.00010838592626743 0.0816832383975252
-0.10123278978413 0.00116796955595033 0.0010743266687115 -0.0988906971039298 103.207104774433 200.218955432678 9.59266864491789e-07 1.03126922896023e-07 9.76355761520445e-08 9.88312484487076e-07 104.342965990692 201.018552429836 0.857828447750875 1.99140244740945 9.26249133484036e-05 0.0807350403761192
-0.0955478592909549 0.00105780620190639 0.00103261980674414 -0.09441732801379 101.289803466346 198.985742495927 9.71296421483996e-07 1.06278086042623e-07 9.54025753773374e-08 9.50519989499479e-07 96.7137081082318 198.608256882436 1.01448015552595 1.78215262079545 9.2311007683949e-05 0.0805910144817305
-0.110143387206048 0.0010484986822878 0.00116654842032396 -0.108969430283763 105.672439889218 197.964473499055 1.08729082565442e-06 1.18109076928012e-07 1.01797341271829e-07 9.82700472028511e-07 96.4120812791737 196.69365011955 1.13583171491516 1.95988662707214 9.81065673760355e-05 0.0823741746215257
