"a" "f1" "Q" "f" "b" "mu0" "theta"
-0.051392003954141 80.0410460859299 9.90387816489048e-07 80.0622522035337 5.00646623806543 9.66991147311434e-06 0.1
-0.0489724540147887 80.38918157102 1.0251965910209e-06 80.0525083881405 4.99472171982707 9.88951478111694e-06 0.1
-0.0490274674467166 80.3310518829959 8.49074805188044e-07 79.9374335581866 4.99559976914997 8.81407920146592e-06 0.103
-0.0484684364220466 80.4972095890577 1.05306543811379e-06 79.9803024413482 5.0110156392609 1.10129951763956e-05 0.099
-0.0508853778306997 79.769055746991 1.13029130179476e-06 80.1006481354623 4.97960949017966 1.23992034661083e-05 0.098
-0.0480151515409069 79.8533088447306 1.07469735900629e-06 80.0042065818805 5.00074598932603 1.12102941220984e-05 0.099
-0.0507947876839887 79.6868805857655 1.02101125148608e-06 80.0983266416765 4.99362431690949 8.36397391337871e-06 0.1
-0.0505757643196658 79.7665321353931 9.84967726382034e-07 79.9631091606712 4.99207438814122 1.03914303503077e-05 0.1
-0.0493280645033619 80.1534615859909 1.00764422875019e-06 79.863585835056 5.01045026258761 9.40846285031084e-06 0.1
-0.0486602188615541 80.0917195818219 8.79697236271125e-07 79.923969317966 4.98870662247054 9.16002982073727e-06 0.102
-0.0498060552690683 80.2754590335088 1.21138505665156e-06 79.931860491852 5.01194397011912 1.12401363398613e-05 0.097
-0.0497292899185072 80.132314339151 1.07505648277471e-06 80.086349023347 4.99662074356745 1.12389693669021e-05 0.099
-0.0507963349428677 79.8109947840966 1.14016321218094e-06 79.9742609152636 4.99643229370794 1.06819892404884e-05 0.098
-0.050803891629988 80.0605885279145 9.44097225911012e-07 80.0555791988398 4.97409814353332 9.20192777860516e-06 0.101
-0.0482146736034393 79.9124666498511 9.74697384023027e-07 79.9450544313205 4.99702486931654 1.14305574465774e-05 0.1
-0.0524844607762366 79.9491337926302 1.00519997684971e-06 79.9978037119449 4.98284635298303 7.25320941103152e-06 0.1
-0.0480594845109796 79.8634717395664 1.00818849772196e-06 79.8801771151985 5.01242901387282 1.00953545060165e-05 0.1
-0.0503853921457503 80.3133444922953 1.11927529007818e-06 80.0491828797404 5.00714503790689 1.43983493084221e-05 0.098
-0.0484327277755469 79.7686621087197 9.98479370576605e-07 80.0196154700457 4.99849674204274 1.08571572651761e-05 0.1
-0.0492337374622094 80.1632060214414 8.97985646080188e-07 80.0025008840992 4.9886367829319 9.61435823993578e-06 0.102
-0.0495077338739658 79.8720796881298 1.07390513785411e-06 79.9793052062884 4.98950322698661 8.62278264773461e-06 0.099
-0.0496628258626146 80.1757460063148 1.00920601036312e-06 80.0461884767241 4.99288073348247 1.07439842676011e-05 0.1
-0.0505987257565983 79.9473788785656 9.93039058397936e-07 80.2841802516394 4.99793970770053 1.03021883493398e-05 0.1
-0.0504320628170898 79.6616551450276 9.93165784401225e-07 80.0285577822907 5.00213794434015 1.00129495620481e-05 0.1
-0.0497915046972502 79.8107127133992 9.82483165775852e-07 79.9419287870865 5.00486187852782 9.14951214250458e-06 0.1
-0.0507384004121151 79.59800982786 1.05496066528681e-06 80.0296163757706 4.98531264475835 1.04230493299792e-05 0.099
-0.0503585603691248 80.1870634907591 9.54159855853191e-07 80.1793891095267 5.00692065227748 9.90262411666113e-06 0.101
-0.0505168495579821 80.0451623303234 9.59760287561759e-07 79.9972453029847 5.00458552552408 9.12225406897102e-06 0.101
-0.0497881436719488 80.662385681266 1.03348013995195e-06 80.0381218963313 4.99139659671963 1.00617648794085e-05 0.099
-0.0505226522447442 80.4511689318188 1.0004403950094e-06 80.0589134604024 5.00084382678644 9.39445635353073e-06 0.1
-0.0495806281919294 79.6675465232658 1.00758570519873e-06 79.9875222901203 5.01261788827629 9.58815881676751e-06 0.1
-0.0501467534116466 79.7808553873865 1.07082159131629e-06 79.7867583412255 4.9995551681969 1.02645432075903e-05 0.099
-0.0532573262225698 79.2700840393538 1.00333870732675e-06 79.9347916022884 4.99698733187991 9.98144467319849e-06 0.1
-0.0512305904076599 79.6789977945411 1.01563269897334e-06 79.9280593088801 4.98790158621539 8.57279341533786e-06 0.1
-0.0515217757718167 79.7029223036601 1.05765882273221e-06 80.0684138021394 5.00233640338517 1.10884654502047e-05 0.099
-0.0501544229811492 79.6314461309358 9.38000519899045e-07 80.1315704077869 4.9799316565191 9.64812522281141e-06 0.101
-0.0488165055939742 80.024111995503 1.12419080119955e-06 80.0408279288556 4.99360729898704 1.20243879771749e-05 0.098
-0.0499531281273919 79.7052970635302 1.00461143751648e-06 79.9994715916427 5.00492454411379 9.48158000223416e-06 0.1
-0.0489313866156234 79.8137030046375 8.9547853015723e-07 80.0510264121454 5.00941763683816 9.52509904613048e-06 0.102
-0.049752395530141 79.9547815677415 8.77523211611553e-07 80.0161652782777 5.00235274713134 7.56084619864608e-06 0.102
-0.0508689060885784 79.7799520913041 1.06925324335945e-06 79.9563267165145 5.00094312739052 1.14517105042327e-05 0.099
-0.0504768009992705 79.7517370761718 9.32460776575878e-07 80.1363032985458 4.99715766949685 8.34302540133995e-06 0.101
-0.0503539851600743 79.8685073720372 9.4133202333931e-07 79.9999250368873 4.98044709368222 8.26899943813086e-06 0.101
